participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
M80301092	sub-M80301092	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80301092	sub-M80301092	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80303045	sub-M80303045	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80303045	sub-M80303045	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80303730	sub-M80303730	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80303730	sub-M80303730	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80304750	sub-M80304750	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80304750	sub-M80304750	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80305418	sub-M80305418	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80305418	sub-M80305418	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80306555	sub-M80306555	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80306555	sub-M80306555	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80318505	sub-M80318505	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80318505	sub-M80318505	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80319012	sub-M80319012	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80319012	sub-M80319012	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80319521	sub-M80319521	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80319521	sub-M80319521	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80322566	sub-M80322566	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80322566	sub-M80322566	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80323465	sub-M80323465	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80323465	sub-M80323465	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80325206	sub-M80325206	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80325206	sub-M80325206	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80328669	sub-M80328669	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80328669	sub-M80328669	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80333697	sub-M80333697	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80333697	sub-M80333697	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80334186	sub-M80334186	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80334186	sub-M80334186	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80334891	sub-M80334891	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80334891	sub-M80334891	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80335622	sub-M80335622	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80335622	sub-M80335622	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80336555	sub-M80336555	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80336555	sub-M80336555	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80340633	sub-M80340633	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80340633	sub-M80340633	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80344830	sub-M80344830	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80344830	sub-M80344830	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80345728	sub-M80345728	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80345728	sub-M80345728	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80352984	sub-M80352984	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80352984	sub-M80352984	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80353242	sub-M80353242	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80353242	sub-M80353242	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80353518	sub-M80353518	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80353518	sub-M80353518	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80354361	sub-M80354361	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80354361	sub-M80354361	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80361478	sub-M80361478	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80361478	sub-M80361478	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80362559	sub-M80362559	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80362559	sub-M80362559	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80363038	sub-M80363038	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80363038	sub-M80363038	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80363504	sub-M80363504	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80363504	sub-M80363504	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80365393	sub-M80365393	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80365393	sub-M80365393	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80369239	sub-M80369239	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80369239	sub-M80369239	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80374933	sub-M80374933	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80374933	sub-M80374933	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80375100	sub-M80375100	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80375100	sub-M80375100	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80375491	sub-M80375491	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80375491	sub-M80375491	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80380529	sub-M80380529	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80380529	sub-M80380529	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80384859	sub-M80384859	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80384859	sub-M80384859	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80390041	sub-M80390041	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80390041	sub-M80390041	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80391297	sub-M80391297	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80391297	sub-M80391297	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80392026	sub-M80392026	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80392026	sub-M80392026	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80392216	sub-M80392216	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80392216	sub-M80392216	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80397236	sub-M80397236	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80397236	sub-M80397236	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80397245	sub-M80397245	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80397245	sub-M80397245	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80397330	sub-M80397330	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80397330	sub-M80397330	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80397425	sub-M80397425	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80397425	sub-M80397425	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80398133	sub-M80398133	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80398133	sub-M80398133	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80398281	sub-M80398281	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80398281	sub-M80398281	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
M80398983	sub-M80398983	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
M80398983	sub-M80398983	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
