participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
1	sub-1	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
1	sub-1	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
2	sub-2	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
2	sub-2	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
3	sub-3	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
3	sub-3	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
4	sub-4	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
4	sub-4	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
5	sub-5	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
5	sub-5	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
6	sub-6	unnamed	fmriprep	21.0.1	default	ses-unnamed	SUCCESS
6	sub-6	unnamed	mriqc	0.16.1	default	ses-unnamed	SUCCESS
