participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
bb914	sub-bb914	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
bd484	sub-bd484	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
bh2044	sub-bh2044	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
bi933	sub-bi933	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
bn968	sub-bn968	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
cc528	sub-cc528	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
cs928	sub-cs928	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
dt1017	sub-dt1017	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ee924	sub-ee924	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
fd967	sub-fd967	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ff2134	sub-ff2134	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
fp878	sub-fp878	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
hu2138	sub-hu2138	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
id926	sub-id926	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
kd918	sub-kd918	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
kt925	sub-kt925	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ku966	sub-ku966	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
kz838	sub-kz838	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
lb2136	sub-lb2136	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
lh2143	sub-lh2143	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ll2026	sub-ll2026	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
nb2042	sub-nb2042	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
nh935	sub-nh935	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ns968	sub-ns968	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
pv536	sub-pv536	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
qb2027	sub-qb2027	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
tc923	sub-tc923	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
tm943	sub-tm943	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
tq315	sub-tq315	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
tt415	sub-tt415	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
ug71	sub-ug71	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
us2142	sub-us2142	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
