participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
RC4101	sub-RC4101	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4101	sub-RC4101	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4103	sub-RC4103	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4103	sub-RC4103	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4106	sub-RC4106	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4106	sub-RC4106	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4107	sub-RC4107	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4107	sub-RC4107	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4109	sub-RC4109	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4109	sub-RC4109	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4110	sub-RC4110	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4110	sub-RC4110	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4111	sub-RC4111	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4111	sub-RC4111	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4112	sub-RC4112	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4112	sub-RC4112	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4113	sub-RC4113	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4113	sub-RC4113	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4114	sub-RC4114	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4114	sub-RC4114	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4115	sub-RC4115	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4115	sub-RC4115	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4116	sub-RC4116	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4116	sub-RC4116	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4117	sub-RC4117	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4117	sub-RC4117	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4118	sub-RC4118	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4118	sub-RC4118	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4119	sub-RC4119	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4119	sub-RC4119	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4120	sub-RC4120	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4120	sub-RC4120	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4121	sub-RC4121	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4121	sub-RC4121	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4122	sub-RC4122	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4122	sub-RC4122	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4123	sub-RC4123	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4123	sub-RC4123	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4125	sub-RC4125	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4125	sub-RC4125	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4126	sub-RC4126	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4126	sub-RC4126	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4128	sub-RC4128	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4128	sub-RC4128	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4129	sub-RC4129	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4129	sub-RC4129	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4130	sub-RC4130	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4130	sub-RC4130	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4131	sub-RC4131	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4131	sub-RC4131	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4201	sub-RC4201	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4201	sub-RC4201	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4204	sub-RC4204	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4204	sub-RC4204	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4205	sub-RC4205	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4205	sub-RC4205	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4206	sub-RC4206	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4206	sub-RC4206	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4207	sub-RC4207	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4207	sub-RC4207	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4208	sub-RC4208	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4208	sub-RC4208	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4210	sub-RC4210	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4210	sub-RC4210	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4211	sub-RC4211	1	mriqc	22.0.1	default	ses-1	SUCCESS
RC4211	sub-RC4211	2	mriqc	22.0.1	default	ses-2	SUCCESS
RC4212	sub-RC4212	1	mriqc	22.0.1	default	ses-1	SUCCESS
