participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
DP01	sub-DP01	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP02	sub-DP02	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP03	sub-DP03	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP04	sub-DP04	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP05	sub-DP05	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP06	sub-DP06	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP07	sub-DP07	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP08	sub-DP08	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP09	sub-DP09	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP10	sub-DP10	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP11	sub-DP11	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP12	sub-DP12	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP13	sub-DP13	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP14	sub-DP14	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP15	sub-DP15	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP16	sub-DP16	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP17	sub-DP17	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP18	sub-DP18	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP19	sub-DP19	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP20	sub-DP20	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP21	sub-DP21	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP22	sub-DP22	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP23	sub-DP23	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP24	sub-DP24	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP25	sub-DP25	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP26	sub-DP26	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP27	sub-DP27	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
DP28	sub-DP28	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control01	sub-control01	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control02	sub-control02	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control03	sub-control03	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control04	sub-control04	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control05	sub-control05	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control06	sub-control06	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control07	sub-control07	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control08	sub-control08	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control09	sub-control09	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control10	sub-control10	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control11	sub-control11	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control12	sub-control12	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control13	sub-control13	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control14	sub-control14	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control15	sub-control15	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control16	sub-control16	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control17	sub-control17	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control18	sub-control18	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control19	sub-control19	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control20	sub-control20	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control21	sub-control21	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control22	sub-control22	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control23	sub-control23	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control24	sub-control24	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control25	sub-control25	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
control26	sub-control26	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
