participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
adult01	sub-adult01	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult01	sub-adult01	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult02	sub-adult02	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult02	sub-adult02	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult03	sub-adult03	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult03	sub-adult03	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult04	sub-adult04	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult04	sub-adult04	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult05	sub-adult05	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult05	sub-adult05	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult06	sub-adult06	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult06	sub-adult06	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult07	sub-adult07	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult07	sub-adult07	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult08	sub-adult08	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult08	sub-adult08	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult09	sub-adult09	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult09	sub-adult09	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult10	sub-adult10	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult10	sub-adult10	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult11	sub-adult11	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult11	sub-adult11	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult12	sub-adult12	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult12	sub-adult12	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult13	sub-adult13	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult13	sub-adult13	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult14	sub-adult14	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult14	sub-adult14	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult15	sub-adult15	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult15	sub-adult15	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult16	sub-adult16	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult16	sub-adult16	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult17	sub-adult17	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult17	sub-adult17	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult18	sub-adult18	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult18	sub-adult18	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult19	sub-adult19	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult19	sub-adult19	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult20	sub-adult20	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult20	sub-adult20	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
adult21	sub-adult21	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
adult21	sub-adult21	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child01	sub-child01	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child01	sub-child01	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child02	sub-child02	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child02	sub-child02	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child03	sub-child03	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child03	sub-child03	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child04	sub-child04	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child04	sub-child04	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child05	sub-child05	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child05	sub-child05	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child06	sub-child06	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child06	sub-child06	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child07	sub-child07	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child07	sub-child07	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child08	sub-child08	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child08	sub-child08	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child09	sub-child09	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child09	sub-child09	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child10	sub-child10	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child10	sub-child10	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child11	sub-child11	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child11	sub-child11	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child12	sub-child12	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child12	sub-child12	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child13	sub-child13	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child13	sub-child13	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child14	sub-child14	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child14	sub-child14	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child15	sub-child15	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child15	sub-child15	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child16	sub-child16	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child16	sub-child16	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child17	sub-child17	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child17	sub-child17	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child18	sub-child18	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child18	sub-child18	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child19	sub-child19	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child19	sub-child19	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child20	sub-child20	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child20	sub-child20	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
child21	sub-child21	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
child21	sub-child21	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
teen01	sub-teen01	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
teen01	sub-teen01	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
teen02	sub-teen02	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
teen02	sub-teen02	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
teen03	sub-teen03	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
teen03	sub-teen03	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
teen04	sub-teen04	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
