participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
cm10006	sub-cm10006	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
dc10004	sub-dc10004	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
dd8455	sub-dd8455	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
ia10010	sub-ia10010	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
jm10021	sub-jm10021	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
kc10014	sub-kc10014	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
kd3603	sub-kd3603	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
kl10012	sub-kl10012	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
nb8419	sub-nb8419	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
nn8813	sub-nn8813	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
qh10013	sub-qh10013	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
qw3602	sub-qw3602	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
sa10005	sub-sa10005	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
tc10003	sub-tc10003	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
tq3600	sub-tq3600	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
tt8602	sub-tt8602	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
