participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
18	sub-18	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
18	sub-18	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
22	sub-22	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
22	sub-22	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
23	sub-23	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
23	sub-23	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
24	sub-24	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
24	sub-24	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
26	sub-26	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
26	sub-26	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
28	sub-28	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
28	sub-28	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
30	sub-30	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
30	sub-30	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
31	sub-31	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
31	sub-31	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
35	sub-35	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
35	sub-35	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
36	sub-36	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
36	sub-36	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
37	sub-37	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
37	sub-37	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
38	sub-38	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
38	sub-38	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
39	sub-39	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
39	sub-39	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
41	sub-41	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
41	sub-41	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
42	sub-42	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
42	sub-42	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
43	sub-43	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
43	sub-43	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
44	sub-44	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
44	sub-44	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
45	sub-45	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
45	sub-45	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
46	sub-46	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
46	sub-46	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
47	sub-47	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
47	sub-47	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
48	sub-48	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
48	sub-48	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
49	sub-49	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
49	sub-49	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
50	sub-50	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
50	sub-50	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
51	sub-51	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
51	sub-51	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
52	sub-52	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
52	sub-52	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
53	sub-53	unnamed	fmriprep	21.0.2	default	ses-unnamed	SUCCESS
53	sub-53	unnamed	mriqc	22.0.1	default	ses-unnamed	SUCCESS
