participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
01	sub-01	01	fmriprep	21.0.2	default	ses-01	FAIL
01	sub-01	01	mriqc	22.0.1	default	ses-01	FAIL
01	sub-01	02	fmriprep	21.0.2	default	ses-02	FAIL
01	sub-01	02	mriqc	22.0.1	default	ses-02	FAIL
01	sub-01	anat	fmriprep	21.0.2	default	ses-anat	SUCCESS
01	sub-01	anat	mriqc	22.0.1	default	ses-anat	SUCCESS
02	sub-02	01	fmriprep	21.0.2	default	ses-01	FAIL
02	sub-02	01	mriqc	22.0.1	default	ses-01	FAIL
02	sub-02	02	fmriprep	21.0.2	default	ses-02	FAIL
02	sub-02	02	mriqc	22.0.1	default	ses-02	FAIL
02	sub-02	anat	fmriprep	21.0.2	default	ses-anat	SUCCESS
02	sub-02	anat	mriqc	22.0.1	default	ses-anat	SUCCESS
