participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
POL1015	sub-POL1015	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1015	sub-POL1015	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1023	sub-POL1023	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1023	sub-POL1023	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1065	sub-POL1065	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1065	sub-POL1065	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1078	sub-POL1078	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1078	sub-POL1078	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1093	sub-POL1093	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1093	sub-POL1093	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1099	sub-POL1099	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1099	sub-POL1099	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1108	sub-POL1108	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1108	sub-POL1108	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1113	sub-POL1113	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1113	sub-POL1113	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1140	sub-POL1140	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1140	sub-POL1140	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1165	sub-POL1165	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1165	sub-POL1165	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1174	sub-POL1174	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1174	sub-POL1174	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1181	sub-POL1181	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1181	sub-POL1181	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1192	sub-POL1192	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1192	sub-POL1192	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1210	sub-POL1210	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1210	sub-POL1210	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1237	sub-POL1237	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1237	sub-POL1237	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1276	sub-POL1276	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1276	sub-POL1276	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1296	sub-POL1296	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1296	sub-POL1296	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1305	sub-POL1305	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1305	sub-POL1305	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1326	sub-POL1326	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1326	sub-POL1326	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1343	sub-POL1343	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1343	sub-POL1343	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1350	sub-POL1350	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1350	sub-POL1350	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1362	sub-POL1362	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1362	sub-POL1362	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
POL1380	sub-POL1380	unnamed	fmriprep	25.1.4	default	ses-unnamed	SUCCESS
POL1380	sub-POL1380	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
