participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
01	sub-01	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
02	sub-02	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
03	sub-03	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
04	sub-04	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
05	sub-05	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
06	sub-06	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
07	sub-07	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
08	sub-08	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
