participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
02	sub-02	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
05	sub-05	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
06	sub-06	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
07	sub-07	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
08	sub-08	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
10	sub-10	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
12	sub-12	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
13	sub-13	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
14	sub-14	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
16	sub-16	unnamed	mriqc	23.0.1	default	ses-unnamed	SUCCESS
