participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
21134	sub-21134	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21134	sub-21134	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21138	sub-21138	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21138	sub-21138	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21143	sub-21143	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21143	sub-21143	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21147	sub-21147	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21147	sub-21147	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21150	sub-21150	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21150	sub-21150	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21156	sub-21156	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21156	sub-21156	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21160	sub-21160	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21160	sub-21160	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21163	sub-21163	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21163	sub-21163	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21173	sub-21173	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21173	sub-21173	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21175	sub-21175	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21175	sub-21175	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21180	sub-21180	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21180	sub-21180	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21187	sub-21187	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21187	sub-21187	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21188	sub-21188	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21188	sub-21188	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21248	sub-21248	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21248	sub-21248	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21255	sub-21255	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21255	sub-21255	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21256	sub-21256	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21256	sub-21256	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21272	sub-21272	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21272	sub-21272	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21297	sub-21297	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21297	sub-21297	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21303	sub-21303	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21303	sub-21303	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21346	sub-21346	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21346	sub-21346	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21348	sub-21348	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21348	sub-21348	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21349	sub-21349	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21349	sub-21349	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21376	sub-21376	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21376	sub-21376	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21407	sub-21407	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21407	sub-21407	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21413	sub-21413	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21413	sub-21413	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21439	sub-21439	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21439	sub-21439	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21469	sub-21469	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21469	sub-21469	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21487	sub-21487	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21487	sub-21487	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21502	sub-21502	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21502	sub-21502	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21508	sub-21508	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21508	sub-21508	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21509	sub-21509	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21509	sub-21509	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21565	sub-21565	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21565	sub-21565	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21567	sub-21567	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21567	sub-21567	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21586	sub-21586	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21586	sub-21586	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21602	sub-21602	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21602	sub-21602	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21677	sub-21677	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21677	sub-21677	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21688	sub-21688	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21688	sub-21688	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21715	sub-21715	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21715	sub-21715	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21748	sub-21748	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21748	sub-21748	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21752	sub-21752	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21752	sub-21752	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21755	sub-21755	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21755	sub-21755	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21772	sub-21772	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21772	sub-21772	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21787	sub-21787	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21787	sub-21787	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21791	sub-21791	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21791	sub-21791	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
21793	sub-21793	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
21793	sub-21793	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22576	sub-22576	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22576	sub-22576	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22605	sub-22605	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22605	sub-22605	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22610	sub-22610	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22610	sub-22610	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22625	sub-22625	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22625	sub-22625	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22680	sub-22680	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22680	sub-22680	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22703	sub-22703	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22703	sub-22703	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22708	sub-22708	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22708	sub-22708	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22737	sub-22737	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22737	sub-22737	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22741	sub-22741	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22741	sub-22741	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22742	sub-22742	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22742	sub-22742	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22754	sub-22754	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
22754	sub-22754	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
22767	sub-22767	unnamed	fmriprep	23.2.0	default	ses-unnamed	SUCCESS
