participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
01	sub-01	post	mriqc	22.0.1	default	ses-post	SUCCESS
01	sub-01	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
02	sub-02	post	mriqc	22.0.1	default	ses-post	SUCCESS
02	sub-02	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
03	sub-03	post	mriqc	22.0.1	default	ses-post	SUCCESS
03	sub-03	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
04	sub-04	post	mriqc	22.0.1	default	ses-post	SUCCESS
04	sub-04	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
05	sub-05	post	mriqc	22.0.1	default	ses-post	SUCCESS
05	sub-05	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
06	sub-06	post	mriqc	22.0.1	default	ses-post	SUCCESS
06	sub-06	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
07	sub-07	post	mriqc	22.0.1	default	ses-post	SUCCESS
07	sub-07	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
08	sub-08	post	mriqc	22.0.1	default	ses-post	FAIL
08	sub-08	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
09	sub-09	post	mriqc	22.0.1	default	ses-post	SUCCESS
09	sub-09	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
10	sub-10	post	mriqc	22.0.1	default	ses-post	SUCCESS
10	sub-10	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
11	sub-11	post	mriqc	22.0.1	default	ses-post	SUCCESS
11	sub-11	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
12	sub-12	post	mriqc	22.0.1	default	ses-post	SUCCESS
12	sub-12	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
13	sub-13	post	mriqc	22.0.1	default	ses-post	SUCCESS
13	sub-13	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
14	sub-14	post	mriqc	22.0.1	default	ses-post	SUCCESS
14	sub-14	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
15	sub-15	post	mriqc	22.0.1	default	ses-post	SUCCESS
15	sub-15	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
16	sub-16	post	mriqc	22.0.1	default	ses-post	SUCCESS
16	sub-16	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
17	sub-17	post	mriqc	22.0.1	default	ses-post	SUCCESS
17	sub-17	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
18	sub-18	post	mriqc	22.0.1	default	ses-post	SUCCESS
18	sub-18	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
19	sub-19	post	mriqc	22.0.1	default	ses-post	SUCCESS
19	sub-19	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
20	sub-20	post	mriqc	22.0.1	default	ses-post	SUCCESS
20	sub-20	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
21	sub-21	post	mriqc	22.0.1	default	ses-post	SUCCESS
21	sub-21	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
22	sub-22	post	mriqc	22.0.1	default	ses-post	SUCCESS
22	sub-22	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
23	sub-23	post	mriqc	22.0.1	default	ses-post	SUCCESS
23	sub-23	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
24	sub-24	post	mriqc	22.0.1	default	ses-post	SUCCESS
24	sub-24	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
25	sub-25	post	mriqc	22.0.1	default	ses-post	SUCCESS
25	sub-25	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
26	sub-26	post	mriqc	22.0.1	default	ses-post	SUCCESS
26	sub-26	pre	mriqc	22.0.1	default	ses-pre	SUCCESS
