participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
1	sub-1	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
1	sub-1	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
10	sub-10	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
10	sub-10	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
11	sub-11	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
11	sub-11	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
12	sub-12	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
12	sub-12	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
2	sub-2	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
2	sub-2	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
3	sub-3	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
3	sub-3	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
4	sub-4	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
4	sub-4	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
5	sub-5	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
5	sub-5	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
6	sub-6	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
6	sub-6	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
7	sub-7	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
7	sub-7	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
8	sub-8	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
8	sub-8	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
9	sub-9	unnamed	fmriprep	25.1.3	default	ses-unnamed	SUCCESS
9	sub-9	unnamed	mriqc	24.0.2	default	ses-unnamed	SUCCESS
