participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
sid000216	sub-sid000216	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000216	sub-sid000216	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000217	sub-sid000217	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000217	sub-sid000217	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000375	sub-sid000375	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000375	sub-sid000375	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000475	sub-sid000475	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000475	sub-sid000475	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000476	sub-sid000476	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000476	sub-sid000476	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000494	sub-sid000494	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000494	sub-sid000494	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000496	sub-sid000496	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000496	sub-sid000496	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000498	sub-sid000498	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000498	sub-sid000498	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000529	sub-sid000529	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000529	sub-sid000529	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000570	sub-sid000570	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000570	sub-sid000570	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000573	sub-sid000573	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000573	sub-sid000573	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000667	sub-sid000667	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000667	sub-sid000667	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000668	sub-sid000668	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000668	sub-sid000668	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000669	sub-sid000669	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000669	sub-sid000669	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000671	sub-sid000671	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000671	sub-sid000671	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000677	sub-sid000677	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000677	sub-sid000677	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000678	sub-sid000678	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000678	sub-sid000678	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000679	sub-sid000679	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000679	sub-sid000679	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000680	sub-sid000680	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000680	sub-sid000680	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000681	sub-sid000681	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000681	sub-sid000681	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000682	sub-sid000682	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000682	sub-sid000682	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000683	sub-sid000683	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000683	sub-sid000683	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000688	sub-sid000688	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000688	sub-sid000688	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
sid000692	sub-sid000692	unnamed	fmriprep	23.0.2	default	ses-unnamed	SUCCESS
sid000692	sub-sid000692	unnamed	mriqc	22.0.6	default	ses-unnamed	SUCCESS
