participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
CM101	sub-CM101	1	fmriprep	25.1.3	default	ses-1	FAIL
CM101	sub-CM101	2	fmriprep	25.1.3	default	ses-2	FAIL
CM101	sub-CM101	3	fmriprep	25.1.3	default	ses-3	FAIL
CM101	sub-CM101	4	fmriprep	25.1.3	default	ses-4	FAIL
CM102	sub-CM102	1	fmriprep	25.1.3	default	ses-1	FAIL
CM102	sub-CM102	2	fmriprep	25.1.3	default	ses-2	FAIL
CM102	sub-CM102	3	fmriprep	25.1.3	default	ses-3	FAIL
CM102	sub-CM102	4	fmriprep	25.1.3	default	ses-4	FAIL
CM103	sub-CM103	1	fmriprep	25.1.3	default	ses-1	FAIL
CM103	sub-CM103	2	fmriprep	25.1.3	default	ses-2	FAIL
CM103	sub-CM103	3	fmriprep	25.1.3	default	ses-3	FAIL
CM103	sub-CM103	4	fmriprep	25.1.3	default	ses-4	FAIL
CM104	sub-CM104	1	fmriprep	25.1.3	default	ses-1	FAIL
CM104	sub-CM104	2	fmriprep	25.1.3	default	ses-2	FAIL
CM104	sub-CM104	3	fmriprep	25.1.3	default	ses-3	FAIL
CM104	sub-CM104	4	fmriprep	25.1.3	default	ses-4	FAIL
CM106	sub-CM106	1	fmriprep	25.1.3	default	ses-1	FAIL
CM106	sub-CM106	2	fmriprep	25.1.3	default	ses-2	FAIL
CM106	sub-CM106	3	fmriprep	25.1.3	default	ses-3	FAIL
CM106	sub-CM106	4	fmriprep	25.1.3	default	ses-4	FAIL
CM201	sub-CM201	1	fmriprep	25.1.3	default	ses-1	FAIL
CM201	sub-CM201	2	fmriprep	25.1.3	default	ses-2	FAIL
CM201	sub-CM201	3	fmriprep	25.1.3	default	ses-3	FAIL
CM201	sub-CM201	4	fmriprep	25.1.3	default	ses-4	FAIL
CM202	sub-CM202	1	fmriprep	25.1.3	default	ses-1	FAIL
CM202	sub-CM202	2	fmriprep	25.1.3	default	ses-2	FAIL
CM202	sub-CM202	3	fmriprep	25.1.3	default	ses-3	FAIL
CM202	sub-CM202	4	fmriprep	25.1.3	default	ses-4	FAIL
CM204	sub-CM204	1	fmriprep	25.1.3	default	ses-1	FAIL
CM204	sub-CM204	2	fmriprep	25.1.3	default	ses-2	FAIL
CM204	sub-CM204	3	fmriprep	25.1.3	default	ses-3	FAIL
CM204	sub-CM204	4	fmriprep	25.1.3	default	ses-4	FAIL
CM205	sub-CM205	1	fmriprep	25.1.3	default	ses-1	FAIL
CM205	sub-CM205	2	fmriprep	25.1.3	default	ses-2	FAIL
CM205	sub-CM205	3	fmriprep	25.1.3	default	ses-3	FAIL
CM205	sub-CM205	4	fmriprep	25.1.3	default	ses-4	FAIL
CM207	sub-CM207	1	fmriprep	25.1.3	default	ses-1	FAIL
CM207	sub-CM207	2	fmriprep	25.1.3	default	ses-2	FAIL
CM207	sub-CM207	3	fmriprep	25.1.3	default	ses-3	FAIL
CM207	sub-CM207	4	fmriprep	25.1.3	default	ses-4	FAIL
CM209	sub-CM209	1	fmriprep	25.1.3	default	ses-1	FAIL
CM209	sub-CM209	2	fmriprep	25.1.3	default	ses-2	FAIL
CM209	sub-CM209	3	fmriprep	25.1.3	default	ses-3	FAIL
CM209	sub-CM209	4	fmriprep	25.1.3	default	ses-4	FAIL
